region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
CA1,Astr,5665.95691051859,12499.890131043,Cell_10222,1002081,0.0
CA1,Unknown,5859.75781356732,12581.0702393054,Cell_10223,1002081,1.845703125
Cortex,Astr,6818.33428273836,13036.0956811783,Cell_10224,1002081,0.0
DG,Astr,1779.14414076396,10715.1157775539,Cell_10226,1002081,0.0
Ependymal,Epe,2258.28192705985,10938.1588938868,Cell_10227,1002081,0.0
DG,Unknown,2432.6905147802,11014.8458845005,Cell_10228,1002081,0.0
DG,End,3068.62489289501,11309.7992142524,Cell_10229,1002081,0.0
CAA,Glu Neu,3716.76511448741,9335.23717340536,Cell_1023,1002081,2.05859375
SL/R CA1,Astr,4183.77541945646,11816.8300842295,Cell_10230,1002081,0.0
SL/R CA1,Astr,4520.16797098099,11973.3070834301,Cell_10231,1002081,0.0
CA1,Astr,5914.10456017983,12613.6958601062,Cell_10232,1002081,0.0
CA1,Glu Neu,6013.18182689439,12659.134777571,Cell_10233,1002081,0.0
Cortex,Olig,6202.47237526122,12752.5483113816,Cell_10234,1002081,0.0
Cortex,Glu Neu,7199.72377687773,13200.0074066896,Cell_10235,1002081,1.9541015625
DG,GN DG,1913.97196829511,10785.7518655206,Cell_10237,1002081,1.8837890625
SL/R CA1,Ery,4322.50239449317,11896.9554634621,Cell_10238,1002081,0.0
SL/R CA1,Astr,4678.06158891162,12051.221173406,Cell_10239,1002081,1.73046875
CAA,Glu Neu,4377.92486115866,9635.15847871995,Cell_1024,1002081,2.0390625
Cortex,Glu Neu,6561.36339809317,12912.7426737376,Cell_10240,1002081,1.7744140625
Cortex,Glu Neu,6626.54250955696,12948.1359418657,Cell_10241,1002081,2.216796875
Cortex,Mic,6772.50987453053,13004.0781295479,Cell_10242,1002081,0.0
Cortex,End,7011.45189247187,13123.5633255436,Cell_10243,1002081,0.0
Cortex,Glu Neu,7053.26431695691,13142.7393824553,Cell_10244,1002081,2.115234375
SL/R CA1,GABA Neu,2610.6566033485,11104.1659344317,Cell_10245,1002081,1.8798828125
SL/R CA1,Astr,2686.17598471633,11141.0010133351,Cell_10246,1002081,0.0
Cortex,GABA Neu,6305.18550497448,12799.6547120561,Cell_10248,1002081,0.0
Cortex,Glu Neu,6486.4113358174,12879.4682336881,Cell_10249,1002081,2.162109375
Meni,Meninge,7175.71516264608,10944.687565416,Cell_1025,1002081,0.0
DG,Glu Neu,2125.00247050932,10886.9354962877,Cell_10251,1002081,0.0
SL/R CA1,Astr,2466.66075616985,11040.3267145484,Cell_10252,1002081,0.0
SL/R CA1,Astr,2793.09229652036,11193.3355360732,Cell_10253,1002081,0.0
SL/R CA1,End,3807.0812023551,11659.4723173339,Cell_10254,1002081,0.0
SL/R CA1,Mic,3897.33523408571,11695.3639564211,Cell_10255,1002081,0.0
SL/R CA1,Astr,4483.50216840285,11974.0937989447,Cell_10256,1002081,0.0
SL/R CA1,GABA Neu,5110.95495819131,12256.3560822677,Cell_10257,1002081,0.0
CA1,Glu Neu,5869.86613502503,12602.2083999943,Cell_10258,1002081,0.0
CA1,Glu Neu,5983.90372453682,12653.4082845483,Cell_10259,1002081,1.72265625
CA1,Astr,6062.98374475853,12689.6760443596,Cell_10260,1002081,0.0
CA1,Olig,6112.14311938579,12714.4218699926,Cell_10261,1002081,0.0
Cortex,Astr,6161.0768215786,12732.4632887202,Cell_10262,1002081,0.0
DG,Glu Neu,1975.21432018094,10810.5384412319,Cell_10267,1002081,0.0
DG,GABA Neu,2083.11482187946,10865.5246370742,Cell_10268,1002081,0.0
DG,GABA Neu,2296.72177305305,10963.489275645,Cell_10269,1002081,0.0
CAA,Glu Neu,3528.0011351343,9257.4672557072,Cell_1027,1002081,1.9052734375
SL/R CA1,Astr,2717.72336344216,11160.9700617733,Cell_10270,1002081,0.0
SL/R CA1,Astr,3541.02066021316,11531.9506018689,Cell_10271,1002081,0.0
SL/R CA1,Mic,3937.06330455861,11719.0848420812,Cell_10273,1002081,0.0
Ependymal,Epe,4204.92454116667,11840.2814093709,Cell_10274,1002081,0.0
CA1,Glu Neu,5361.26218600952,12367.8517848842,Cell_10275,1002081,1.82421875
CA1,Glu Neu,5565.47544510117,12465.9088846332,Cell_10276,1002081,0.0
Cortex,GABA Neu,6518.30036120083,12896.2935140749,Cell_10277,1002081,2.017578125
Cortex,Glu Neu,6539.88986675858,12899.5940064278,Cell_10278,1002081,2.3125
Cortex,Astr,6589.19968967547,12928.8094366643,Cell_10279,1002081,0.0
CAA,Glu Neu,3668.66515389946,9315.3778231784,Cell_1028,1002081,1.787109375
Cortex,Mic,7129.27579327199,13180.9002979108,Cell_10280,1002081,1.73046875
